	Addendum J for CY2025 complexity adjustments of combinations of comprehensive HCPCS codes								
37243	Vasc embolize/occlude organ	J1	5193	37243	Vasc embolize/occlude organ	J1	5193	3724C	5194
37243	Vasc embolize/occlude organ	J1	5193	47382	Percut ablate liver rf	J1	5361	3724C	5194
37243	Vasc embolize/occlude organ	J1	5193	50593	Perc cryo ablate renal tum	J1	5362	3724C	5194
37243	Vasc embolize/occlude organ	J1	5193	75887	Vein x-ray liver w/o hemodyn	J1	5183	3724C	5194
61626	Transcath occlusion non-cns	J1	5193	75898	Follow-up angiography	J1	5183	6162G	5194
92924	Prq card angio/athrect 1 art	J1	5193	C9600	Perc drug-el cor stent sing	J1	5193	9292D	5194
92928	Prq card stent w/angio 1 vsl	J1	5193	92920	Prq cardiac angioplast 1 art	J1	5192	9292R	5194
92928	Prq card stent w/angio 1 vsl	J1	5193	92928	Prq card stent w/angio 1 vsl	J1	5193	9292R	5194
92928	Prq card stent w/angio 1 vsl	J1	5193	C9600	Perc drug-el cor stent sing	J1	5193	9292R	5194
92943	Prq card revasc chronic 1vsl	J1	5193	C9600	Perc drug-el cor stent sing	J1	5193	9294C	5194
C9600	Perc drug-el cor stent sing	J1	5193	33285	Insj subq car rhythm mntr	J1	5222	C960X	5194
C9764	Revasc intravasc lithotripsy	J1	5193	37221	Iliac revasc w/stent	J1	5193	C976D	5194
C9764	Revasc intravasc lithotripsy	J1	5193	37224	Fem/popl revas w/tla	J1	5192	C976D	5194
C9764	Revasc intravasc lithotripsy	J1	5193	37226	Fem/popl revasc w/stent	J1	5193	C976D	5194
C9764	Revasc intravasc lithotripsy	J1	5193	37228	Tib/per revasc w/tla	J1	5193	C976D	5194
C9764	Revasc intravasc lithotripsy	J1	5193	C9600	Perc drug-el cor stent sing	J1	5193	C976D	5194
C9764	Revasc intravasc lithotripsy	J1	5193	C9764	Revasc intravasc lithotripsy	J1	5193	C976D	5194
C9772	Revasc lithotrip tibi/perone	J1	5193	37224	Fem/popl revas w/tla	J1	5192	C977B	5194
C9772	Revasc lithotrip tibi/perone	J1	5193	37228	Tib/per revasc w/tla	J1	5193	C977B	5194
C9772	Revasc lithotrip tibi/perone	J1	5193	C9764	Revasc intravasc lithotripsy	J1	5193	C977B	5194
33285	Insj subq car rhythm mntr	J1	5222	93620	Comp ep evl r at ven pac&rec	J1	5212	3328E	5223
33206	Insert heart pm atrial	J1	5223	33225	L ventric pacing lead add-on	N	 	3320G	5224
33207	Insert heart pm ventricular	J1	5223	33225	L ventric pacing lead add-on	N	 	3320Q	5224
33207	Insert heart pm ventricular	J1	5223	93650	Icar cath abltj av node func	J1	5212	3320Q	5224
33208	Insrt heart pm atrial & vent	J1	5223	33225	L ventric pacing lead add-on	N	 	3320R	5224
33208	Insrt heart pm atrial & vent	J1	5223	93650	Icar cath abltj av node func	J1	5212	3320R	5224
33208	Insrt heart pm atrial & vent	J1	5223	C9600	Perc drug-el cor stent sing	J1	5193	3320R	5224
33228	Remv&replc pm gen dual lead	J1	5223	33225	L ventric pacing lead add-on	N	 	3322R	5224
43191	Esophagoscopy rigid trnso dx	J1	5302	31526	Dx laryngoscopy w/oper scope	J1	5153	4319A	5303
43201	Esoph scope w/submucous inj	J1	5302	43220	Esophagoscopy balloon <30mm	J1	5302	4320A	5303
43238	Egd us fine needle bx/aspir	J1	5302	43245	Egd dilate stricture	J1	5302	4323R	5303
43238	Egd us fine needle bx/aspir	J1	5302	43249	Esoph egd dilation <30 mm	J1	5302	4323R	5303
43238	Egd us fine needle bx/aspir	J1	5302	43251	Egd remove lesion snare	J1	5302	4323R	5303
43238	Egd us fine needle bx/aspir	J1	5302	43252	Egd optical endomicroscopy	J1	5302	4323R	5303
43238	Egd us fine needle bx/aspir	J1	5302	43255	Egd control bleeding any	J1	5302	4323R	5303
43242	Egd us fine needle bx/aspir	J1	5302	43245	Egd dilate stricture	J1	5302	4324B	5303
43242	Egd us fine needle bx/aspir	J1	5302	43249	Esoph egd dilation <30 mm	J1	5302	4324B	5303
43242	Egd us fine needle bx/aspir	J1	5302	43251	Egd remove lesion snare	J1	5302	4324B	5303
43253	Egd us transmural injxn/mark	J1	5302	43242	Egd us fine needle bx/aspir	J1	5302	4325C	5303
43254	Egd endo mucosal resection	J1	5302	43237	Endoscopic us exam esoph	J1	5302	4325D	5303
43254	Egd endo mucosal resection	J1	5302	43238	Egd us fine needle bx/aspir	J1	5302	4325D	5303
43254	Egd endo mucosal resection	J1	5302	43242	Egd us fine needle bx/aspir	J1	5302	4325D	5303
43254	Egd endo mucosal resection	J1	5302	43249	Esoph egd dilation <30 mm	J1	5302	4325D	5303
43254	Egd endo mucosal resection	J1	5302	43251	Egd remove lesion snare	J1	5302	4325D	5303
43254	Egd endo mucosal resection	J1	5302	43255	Egd control bleeding any	J1	5302	4325D	5303
43254	Egd endo mucosal resection	J1	5302	43259	Egd us exam duodenum/jejunum	J1	5302	4325D	5303
43255	Egd control bleeding any	J1	5302	43255	Egd control bleeding any	J1	5302	4325E	5303
43270	Egd lesion ablation	J1	5302	0753T	Dgtz gls mcrscp sld level iv	N	 	4327X	5303
43270	Egd lesion ablation	J1	5302	43237	Endoscopic us exam esoph	J1	5302	4327X	5303
43270	Egd lesion ablation	J1	5302	43252	Egd optical endomicroscopy	J1	5302	4327X	5303
43270	Egd lesion ablation	J1	5302	43254	Egd endo mucosal resection	J1	5302	4327X	5303
43270	Egd lesion ablation	J1	5302	43259	Egd us exam duodenum/jejunum	J1	5302	4327X	5303
43275	Ercp remove forgn body duct	J1	5302	43237	Endoscopic us exam esoph	J1	5302	4327E	5303
43275	Ercp remove forgn body duct	J1	5302	43259	Egd us exam duodenum/jejunum	J1	5302	4327E	5303
43275	Ercp remove forgn body duct	J1	5302	43273	Endoscopic pancreatoscopy	N	 	4327E	5303
49423	Exchange drainage catheter	J1	5302	49185	Sclerotx fluid collection	J1	5072	4942C	5303
49423	Exchange drainage catheter	J1	5302	49423	Exchange drainage catheter	J1	5302	4942C	5303
49440	Place gastrostomy tube perc	J1	5302	49446	Change g-tube to g-j perc	J1	5302	4944X	5303
43261	Endo cholangiopancreatograph	J1	5303	43242	Egd us fine needle bx/aspir	J1	5302	4326A	5331
32550	Insert pleural cath	J1	5341	32550	Insert pleural cath	J1	5341	3255X	5331
32550	Insert pleural cath	J1	5341	36561	Insert tunneled cv cath	J1	5183	3255X	5331
47536	Exchange biliary drg cath	J1	5341	47544	Removal duct glbldr calculi	N	 	4753G	5331
49505	Prp i/hern init reduc >5 yr	J1	5341	49505	Prp i/hern init reduc >5 yr	J1	5341	4950E	5331
49505	Prp i/hern init reduc >5 yr	J1	5341	54520	Removal of testis	J1	5374	4950E	5331
49507	Prp i/hern init block >5 yr	J1	5341	49505	Prp i/hern init reduc >5 yr	J1	5341	4950Q	5331
49507	Prp i/hern init block >5 yr	J1	5341	49507	Prp i/hern init block >5 yr	J1	5341	4950Q	5331
49507	Prp i/hern init block >5 yr	J1	5341	49591	Rpr aa hrn 1st < 3 cm rdc	J1	5341	4950Q	5331
49507	Prp i/hern init block >5 yr	J1	5341	54520	Removal of testis	J1	5374	4950Q	5331
49520	Rerepair ing hernia reduce	J1	5341	49505	Prp i/hern init reduc >5 yr	J1	5341	4952X	5331
49520	Rerepair ing hernia reduce	J1	5341	49520	Rerepair ing hernia reduce	J1	5341	4952X	5331
49591	Rpr aa hrn 1st < 3 cm rdc	J1	5341	49505	Prp i/hern init reduc >5 yr	J1	5341	4959A	5331
49591	Rpr aa hrn 1st < 3 cm rdc	J1	5341	49520	Rerepair ing hernia reduce	J1	5341	4959A	5331
49613	Rpr aa hrn rcr < 3 rdc	J1	5341	49623	Rmvl ninfct mesh hernia rpr	N	 	4961C	5331
32998	Ablate pulm tumor perq rf	J1	5361	32557	Insert cath pleura w/ image	J1	5182	3299R	5362
38570	Laparoscopy lymph node biop	J1	5361	49650	Lap ing hernia repair init	J1	5361	3857X	5362
38570	Laparoscopy lymph node biop	J1	5361	58661	Laparoscopy remove adnexa	J1	5361	3857X	5362
38745	Remove armpit lymph nodes	J1	5361	11606	Exc tr-ext mal+marg >4 cm	J1	5072	3874E	5362
44186	Lap jejunostomy	J1	5361	36561	Insert tunneled cv cath	J1	5183	4418G	5362
44970	Laparoscopy appendectomy	J1	5361	49650	Lap ing hernia repair init	J1	5361	4497X	5362
44970	Laparoscopy appendectomy	J1	5361	58661	Laparoscopy remove adnexa	J1	5361	4497X	5362
47379	Unlisted laps px liver	J1	5361	49329	Unlstd laps px abd pertm&omn	J1	5361	4737S	5362
47382	Percut ablate liver rf	J1	5361	47000	Needle biopsy of liver perq	J1	5072	4738B	5362
47562	Laparoscopic cholecystectomy	J1	5361	43262	Endo cholangiopancreatograph	J1	5303	4756B	5362
47562	Laparoscopic cholecystectomy	J1	5361	43264	Ercp remove duct calculi	J1	5303	4756B	5362
47562	Laparoscopic cholecystectomy	J1	5361	43274	Ercp duct stent placement	J1	5331	4756B	5362
47563	Laparo cholecystectomy/graph	J1	5361	43262	Endo cholangiopancreatograph	J1	5303	4756C	5362
47563	Laparo cholecystectomy/graph	J1	5361	43264	Ercp remove duct calculi	J1	5303	4756C	5362
47563	Laparo cholecystectomy/graph	J1	5361	43274	Ercp duct stent placement	J1	5331	4756C	5362
49594	Rpr aa hrn 1st 3-10 ncr/strn	J1	5361	49329	Unlstd laps px abd pertm&omn	J1	5361	4959D	5362
49650	Lap ing hernia repair init	J1	5361	49329	Unlstd laps px abd pertm&omn	J1	5361	4965X	5362
49650	Lap ing hernia repair init	J1	5361	49594	Rpr aa hrn 1st 3-10 ncr/strn	J1	5361	4965X	5362
49651	Lap ing hernia repair recur	J1	5361	49329	Unlstd laps px abd pertm&omn	J1	5361	4965A	5362
49651	Lap ing hernia repair recur	J1	5361	49592	Rpr aa hrn 1st < 3 ncr/strn	J1	5361	4965A	5362
49651	Lap ing hernia repair recur	J1	5361	49594	Rpr aa hrn 1st 3-10 ncr/strn	J1	5361	4965A	5362
49651	Lap ing hernia repair recur	J1	5361	49613	Rpr aa hrn rcr < 3 rdc	J1	5341	4965A	5362
49651	Lap ing hernia repair recur	J1	5361	49650	Lap ing hernia repair init	J1	5361	4965A	5362
49651	Lap ing hernia repair recur	J1	5361	49651	Lap ing hernia repair recur	J1	5361	4965A	5362
49659	Unlstd laps px hrnap hrnrphy	J1	5361	49594	Rpr aa hrn 1st 3-10 ncr/strn	J1	5361	4965S	5362
49659	Unlstd laps px hrnap hrnrphy	J1	5361	49651	Lap ing hernia repair recur	J1	5361	4965S	5362
49659	Unlstd laps px hrnap hrnrphy	J1	5361	49659	Unlstd laps px hrnap hrnrphy	J1	5361	4965S	5362
58661	Laparoscopy remove adnexa	J1	5361	49329	Unlstd laps px abd pertm&omn	J1	5361	5866A	5362
58661	Laparoscopy remove adnexa	J1	5361	49591	Rpr aa hrn 1st < 3 cm rdc	J1	5341	5866A	5362
58661	Laparoscopy remove adnexa	J1	5361	57288	Repair bladder defect	J1	5415	5866A	5362
60240	Removal of thyroid	J1	5361	38510	Biopsy/removal lymph nodes	J1	5091	6024X	5362
60240	Removal of thyroid	J1	5361	60512	Autotransplant parathyroid	N	 	6024X	5362
51720	Treatment of bladder lesion	J1	5372	51720	Treatment of bladder lesion	J1	5372	5172X	5373
51728	Cystometrogram w/vp	J1	5372	52000	Cystourethroscopy	J1	5372	5172R	5373
51729	Cystometrogram w/vp&up	J1	5372	52000	Cystourethroscopy	J1	5372	5172S	5373
52000	Cystourethroscopy	J1	5372	C9738	Blue light cysto imag agent	N	 	5200X	5373
50382	Change ureter stent percut	J1	5373	50435	Exchange nephrostomy cath	J1	5373	5038B	5374
50387	Change nephroureteral cath	J1	5373	50706	Balloon dilate urtrl strix	N	 	5038Q	5374
50432	Plmt nephrostomy catheter	J1	5373	50432	Plmt nephrostomy catheter	J1	5373	5043B	5374
50432	Plmt nephrostomy catheter	J1	5373	50435	Exchange nephrostomy cath	J1	5373	5043B	5374
50434	Convert nephrostomy catheter	J1	5373	50435	Exchange nephrostomy cath	J1	5373	5043D	5374
50435	Exchange nephrostomy cath	J1	5373	50706	Balloon dilate urtrl strix	N	 	5043E	5374
50688	Change of ureter tube/stent	J1	5373	50706	Balloon dilate urtrl strix	N	 	5068R	5374
51040	Incise & drain bladder	J1	5373	52287	Cystoscopy chemodenervation	J1	5373	5104X	5374
52005	Cysto w/urtrl cathj	J1	5373	50432	Plmt nephrostomy catheter	J1	5373	5200E	5374
52005	Cysto w/urtrl cathj	J1	5373	51102	Drain bl w/cath insertion	J1	5373	5200E	5374
52005	Cysto w/urtrl cathj	J1	5373	51720	Treatment of bladder lesion	J1	5372	5200E	5374
52005	Cysto w/urtrl cathj	J1	5373	55700	Biopsy of prostate	J1	5373	5200E	5374
52204	Cystoscopy w/biopsy(s)	J1	5373	0753T	Dgtz gls mcrscp sld level iv	N	 	5220D	5374
52204	Cystoscopy w/biopsy(s)	J1	5373	51720	Treatment of bladder lesion	J1	5372	5220D	5374
52204	Cystoscopy w/biopsy(s)	J1	5373	52005	Cysto w/urtrl cathj	J1	5373	5220D	5374
52204	Cystoscopy w/biopsy(s)	J1	5373	52287	Cystoscopy chemodenervation	J1	5373	5220D	5374
52204	Cystoscopy w/biopsy(s)	J1	5373	55700	Biopsy of prostate	J1	5373	5220D	5374
52204	Cystoscopy w/biopsy(s)	J1	5373	C9738	Blue light cysto imag agent	N	 	5220D	5374
52276	Cystoscopy and treatment	J1	5373	52204	Cystoscopy w/biopsy(s)	J1	5373	5227G	5374
52276	Cystoscopy and treatment	J1	5373	52283	Cystoscopy and treatment	J1	5373	5227G	5374
52281	Cystoscopy and treatment	J1	5373	51102	Drain bl w/cath insertion	J1	5373	5228A	5374
52287	Cystoscopy chemodenervation	J1	5373	51102	Drain bl w/cath insertion	J1	5373	5228Q	5374
52287	Cystoscopy chemodenervation	J1	5373	52260	Cystoscopy and treatment	J1	5373	5228Q	5374
54161	Circum 28 days or older	J1	5373	52281	Cystoscopy and treatment	J1	5373	5416A	5374
54161	Circum 28 days or older	J1	5373	54100	Biopsy of penis	J1	5072	5416A	5374
54840	Remove epididymis lesion	J1	5373	54840	Remove epididymis lesion	J1	5373	5484X	5374
55700	Biopsy of prostate	J1	5373	0762T	Dgtz gls mcrscp sl imm ea m	N	 	5570X	5374
55700	Biopsy of prostate	J1	5373	52310	Cystoscopy and treatment	J1	5373	5570X	5374
52318	Remove bladder stone	J1	5374	50590	Fragmenting of kidney stone	J1	5374	5231R	5375
52330	Cystoscopy and treatment	J1	5374	50590	Fragmenting of kidney stone	J1	5374	5233X	5375
52332	Cystoscopy and treatment	J1	5374	50432	Plmt nephrostomy catheter	J1	5373	5233B	5375
52332	Cystoscopy and treatment	J1	5374	51720	Treatment of bladder lesion	J1	5372	5233B	5375
52351	Cystouretero & or pyeloscope	J1	5374	50432	Plmt nephrostomy catheter	J1	5373	5235A	5375
53854	Trurl dstrj prst8 tiss rf wv	J1	5374	52317	Remove bladder stone	J1	5374	5385D	5375
52356	Cysto/uretero w/lithotripsy	J1	5375	50432	Plmt nephrostomy catheter	J1	5373	5235G	5376
52649	Prostate laser enucleation	J1	5375	52356	Cysto/uretero w/lithotripsy	J1	5375	5264S	5376
55874	Tprnl plmt biodegrdabl matrl	J1	5375	55875	Transperi needle place pros	J1	5375	5587D	5376
55875	Transperi needle place pros	J1	5375	55875	Transperi needle place pros	J1	5375	5587E	5376
57106	Vagnc prtl rmvl vag wall	J1	5414	56620	Vulvectomy simple partial	J1	5414	5710G	5415
58558	Hysteroscopy biopsy	J1	5414	56620	Vulvectomy simple partial	J1	5414	5855R	5415
55920	Place needles pelvic for rt	J1	5415	55920	Place needles pelvic for rt	J1	5415	5592X	5416
55920	Place needles pelvic for rt	J1	5415	57155	Insert uteri tandem/ovoids	J1	5415	5592X	5416
57155	Insert uteri tandem/ovoids	J1	5415	57155	Insert uteri tandem/ovoids	J1	5415	5715E	5416
58260	Vaginal hysterectomy	J1	5415	57288	Repair bladder defect	J1	5415	5826X	5416
58262	Vag hyst including t/o	J1	5415	57288	Repair bladder defect	J1	5415	5826B	5416
58263	Vag hyst w/t/o & vag repair	J1	5415	57288	Repair bladder defect	J1	5415	5826C	5416
58270	Vag hyst w/enterocele repair	J1	5415	57288	Repair bladder defect	J1	5415	5827X	5416
64635	Destroy lumb/sac facet jnt	J1	5431	64625	Rf abltj nrv nrvtg si jt	J1	5431	6463E	5432
64708	Revise arm/leg nerve	J1	5431	28035	Decompression of tibia nerve	J1	5431	6470R	5432
64708	Revise arm/leg nerve	J1	5431	64708	Revise arm/leg nerve	J1	5431	6470R	5432
64708	Revise arm/leg nerve	J1	5431	64718	Revise ulnar nerve at elbow	J1	5431	6470R	5432
64718	Revise ulnar nerve at elbow	J1	5431	64718	Revise ulnar nerve at elbow	J1	5431	6471R	5432
64719	Revise ulnar nerve at wrist	J1	5431	29848	Wrist endoscopy/surgery	J1	5112	6471S	5432
64719	Revise ulnar nerve at wrist	J1	5431	64718	Revise ulnar nerve at elbow	J1	5431	6471S	5432
64784	Remove nerve lesion	J1	5431	64787	Implant nerve end	N	 	6478D	5432
63663	Revise spine eltrd perq aray	J1	5462	63688	Rev/rmv imp sp npg/r dtch cn	J1	5461	6366C	5463
61885	Insrt/redo neurostim 1 array	J1	5464	64569	Revise/repl vagus n eltrd	J1	5463	6188E	5465
65756	Corneal trnspl endothelial	J1	5492	66185	Revise aqueous shunt eye	J1	5491	6575G	5493
65756	Corneal trnspl endothelial	J1	5492	67036	Removal of inner eye fluid	J1	5492	6575G	5493
67108	Repair detached retina	J1	5492	66984	Xcapsl ctrc rmvl w/o ecp	J1	5491	6710R	5493
67900	Repair brow defect	J1	5503	67917	Repair eyelid defect	J1	5503	6790X	5504
67912	Correction eyelid w/implant	J1	5503	67900	Repair brow defect	J1	5503	6791B	5504
67912	Correction eyelid w/implant	J1	5503	67917	Repair eyelid defect	J1	5503	6791B	5504
67912	Correction eyelid w/implant	J1	5503	67950	Revision of eyelid	J1	5503	6791B	5504
67950	Revision of eyelid	J1	5503	68700	Repair tear ducts	J1	5503	6795X	5504
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
