	Addendum J for CY2025 ranks to determine primary assignment of comprehensive HCPCS codes									
69604	Revj mstdc rsltg tympanplsty	J1	5165	"5,810.32"	14	9	"7,116.15"	859	 	
21242	Reconstruction of jaw joint	J1	5165	"5,810.32"	3	3	"7,092.98"	860	 	
21406	Opn tx orbit fx w/o implant	J1	5165	"5,810.32"	16	9	"7,037.01"	861	 	
21685	Hyoid myotomy & suspension	J1	5165	"5,810.32"	87	41	"7,020.27"	862	 	
69641	Revise middle ear & mastoid	J1	5165	"5,810.32"	436	283	"6,956.94"	863	 	
69805	Explore inner ear	J1	5165	"5,810.32"	39	28	"6,954.47"	864	 	
30450	Revision of nose	J1	5165	"5,810.32"	39	9	"6,910.48"	865	 	
21070	Remove coronoid process	J1	5165	"5,810.32"	30	12	"6,881.01"	866	 	
69501	Mastoidectomy	J1	5165	"5,810.32"	36	22	"6,875.21"	867	 	
69550	Exc aurl glomus tum trnscanl	J1	5165	"5,810.32"	39	28	"6,799.12"	868	 	
69511	Extensive mastoid surgery	J1	5165	"5,810.32"	14	8	"6,798.49"	869	 	
42415	Excise parotid gland/lesion	J1	5165	"5,810.32"	"2,922"	"2,558"	"6,729.42"	870	 	
21230	Rib cartilage graft	J1	5165	"5,810.32"	55	16	"6,727.39"	871	 	
31580	Laryngoplasty laryngeal web	J1	5165	"5,810.32"	10	6	"6,608.42"	872	 	
69637	Rebuild eardrum structures	J1	5165	"5,810.32"	40	19	"6,577.53"	873	 	
69601	Revj mstdc rsltg compl mstdc	J1	5165	"5,810.32"	32	24	"6,538.92"	874	 	
60260	Repeat thyroid surgery	J1	5165	"5,810.32"	599	483	"6,402.90"	875	 	
21385	Opn tx orbit fx transantral	J1	5165	"5,810.32"	12	5	"6,371.05"	876	 	
30400	Reconstruction of nose	J1	5165	"5,810.32"	41	5	"6,340.79"	877	 	
43130	Removal of esophagus pouch	J1	5165	"5,810.32"	166	129	"6,311.80"	878	 	
21387	Opn tx orbit fx combined	J1	5165	"5,810.32"	11	4	"6,270.23"	879	 	
60502	Re-explore parathyroids	J1	5165	"5,810.32"	475	410	"6,262.58"	880	 	
21386	Opn tx orbit fx periorbital	J1	5165	"5,810.32"	43	34	"6,190.27"	881	 	
69602	Rev mstdc rslt mod rad mstdc	J1	5165	"5,810.32"	19	13	"6,121.04"	882	 	
21077	Impres&prep orbital prosth	J1	5165	"5,810.32"	7	7	"6,054.16"	883	 	
60500	Explore parathyroid glands	J1	5165	"5,810.32"	"13,690"	"12,141"	"5,953.38"	884	 	
21390	Opn tx orbit periorbtl implt	J1	5165	"5,810.32"	295	218	"5,914.88"	885	 	
69633	Rebuild eardrum structures	J1	5165	"5,810.32"	325	125	"5,846.85"	886	 	
40845	Reconstruction of mouth	J1	5165	"5,810.32"	59	40	"5,842.32"	887	 	
31070	Exploration of frontal sinus	J1	5165	"5,810.32"	19	0	"5,810.32"	888	 	
42281	Insertion palate prosthesis	J1	5165	"5,810.32"	11	0	"5,810.32"	889	 	
31590	Reinnervate larynx	J1	5165	"5,810.32"	6	0	"5,810.32"	890	 	
21122	Geniop sldg osteot 2/>	J1	5165	"5,810.32"	5	0	"5,810.32"	891	 	
21338	Open nasoethmoid fx w/o fixj	J1	5165	"5,810.32"	5	0	"5,810.32"	892	 	
30540	Rpr choanal atresia ntranasl	J1	5165	"5,810.32"	5	0	"5,810.32"	893	 	
21256	Reconstruction of orbit	J1	5165	"5,810.32"	4	0	"5,810.32"	894	 	
21143	Lefort i-3/> piece w/o graft	J1	5165	"5,810.32"	3	0	"5,810.32"	895	 	
31086	Removal of frontal sinus	J1	5165	"5,810.32"	3	0	"5,810.32"	896	 	
21120	Genioplasty augmentation	J1	5165	"5,810.32"	2	0	"5,810.32"	897	 	
21125	Augmentation mndblr prostc	J1	5165	"5,810.32"	2	0	"5,810.32"	898	 	
21127	Augmentation mndblr b1 grf	J1	5165	"5,810.32"	2	0	"5,810.32"	899	 	
31080	Removal of frontal sinus	J1	5165	"5,810.32"	2	0	"5,810.32"	900	 	
31610	Tracheostomy fenest skin flp	J1	5165	"5,810.32"	2	0	"5,810.32"	901	 	
41512	Tongue suspension	J1	5165	"5,810.32"	2	0	"5,810.32"	902	 	
42892	Revision of pharyngeal walls	J1	5165	"5,810.32"	2	0	"5,810.32"	903	 	
21100	Maxillofacial fixation	J1	5165	"5,810.32"	1	0	"5,810.32"	904	 	
21193	Reconst lwr jaw w/o graft	J1	5165	"5,810.32"	1	0	"5,810.32"	905	 	
21194	Reconst lwr jaw w/graft	J1	5165	"5,810.32"	1	0	"5,810.32"	906	 	
21206	Reconstruct upper jaw bone	J1	5165	"5,810.32"	1	0	"5,810.32"	907	 	
21255	Reconstruct lower jaw bone	J1	5165	"5,810.32"	1	0	"5,810.32"	908	 	
21263	Revise eye sockets	J1	5165	"5,810.32"	1	0	"5,810.32"	909	 	
21339	Open nasoethmoid fx w/ fixj	J1	5165	"5,810.32"	1	0	"5,810.32"	910	 	
21366	Opn tx complx malar w/grft	J1	5165	"5,810.32"	1	0	"5,810.32"	911	 	
21408	Opn tx orbit fx w/bone grft	J1	5165	"5,810.32"	1	0	"5,810.32"	912	 	
30435	Revision of nose	J1	5165	"5,810.32"	1	0	"5,810.32"	913	 	
31084	Removal of frontal sinus	J1	5165	"5,810.32"	1	0	"5,810.32"	914	 	
42226	Lengthening of palate	J1	5165	"5,810.32"	1	0	"5,810.32"	915	 	
69745	Repair facial nerve	J1	5165	"5,810.32"	1	0	"5,810.32"	916	 	
21260	Revise eye sockets	J1	5165	"5,810.32"	0	0	"5,810.32"	917	 	
21261	Revise eye sockets	J1	5165	"5,810.32"	0	0	"5,810.32"	918	 	
21267	Revise eye sockets	J1	5165	"5,810.32"	0	0	"5,810.32"	919	 	
21452	Perq tx mndblr fx xtrnl fixj	J1	5165	"5,810.32"	0	0	"5,810.32"	920	 	
30460	Revision of nose	J1	5165	"5,810.32"	0	0	"5,810.32"	921	 	
30545	Rpr choanal atresia trsnpltn	J1	5165	"5,810.32"	0	0	"5,810.32"	922	 	
31075	Exploration of frontal sinus	J1	5165	"5,810.32"	0	0	"5,810.32"	923	 	
31242	Nsl/sinus ndsc rf abltj pnn	J1	5165	"5,810.32"	0	0	"5,810.32"	924	 	
31320	Diagnostic incision larynx	J1	5165	"5,810.32"	0	0	"5,810.32"	925	YES	
31551	Laryngoplasty laryngeal sten	J1	5165	"5,810.32"	0	0	"5,810.32"	926	 	
31553	Laryngoplasty laryngeal sten	J1	5165	"5,810.32"	0	0	"5,810.32"	927	 	
31601	Planned tracheostomy<2 yrs	J1	5165	"5,810.32"	0	0	"5,810.32"	928	 	
40701	Repair cleft lip/nasal	J1	5165	"5,810.32"	0	0	"5,810.32"	929	 	
40702	Repair cleft lip/nasal	J1	5165	"5,810.32"	0	0	"5,810.32"	930	 	
42220	Reconstruct cleft palate	J1	5165	"5,810.32"	0	0	"5,810.32"	931	 	
42235	Repair palate	J1	5165	"5,810.32"	0	0	"5,810.32"	932	 	
42509	Parotid duct diversion	J1	5165	"5,810.32"	0	0	"5,810.32"	933	 	
69605	Mastoid surgery revision	J1	5165	"5,810.32"	0	0	"5,810.32"	934	YES	
69740	Repair facial nerve	J1	5165	"5,810.32"	0	0	"5,810.32"	935	 	
C9745	Nasal endo eustachian tube	J1	5165	"5,810.32"	0	0	"5,810.32"	936	YES	
C9749	Repair nasal stenosis w/imp	J1	5165	"5,810.32"	0	0	"5,810.32"	937	YES	
D4260	Osseous surgery 4 or more	J1	5165	"5,810.32"	0	0	"5,810.32"	938	 	
D7340	Vestibuloplasty ridge extens	J1	5165	"5,810.32"	0	0	"5,810.32"	939	 	
D7350	Vestibuloplasty exten graft	J1	5165	"5,810.32"	0	0	"5,810.32"	940	 	
D7485	Surg reduct osseoustuberosit	J1	5165	"5,810.32"	0	0	"5,810.32"	941	 	
D7671	Alveolus open reduction	J1	5165	"5,810.32"	0	0	"5,810.32"	942	 	
D7770	Open reduc compd alveolus fx	J1	5165	"5,810.32"	0	0	"5,810.32"	943	 	
D7950	Mandible graft	J1	5165	"5,810.32"	0	0	"5,810.32"	944	 	
69910	Remove inner ear & mastoid	J1	5165	"5,810.32"	19	8	"5,802.05"	945	 	
40842	Reconstruction of mouth	J1	5165	"5,810.32"	22	13	"5,719.18"	946	 	
69502	Mastoidectomy	J1	5165	"5,810.32"	106	55	"5,661.64"	947	 	
69150	Extensive ear canal surgery	J1	5165	"5,810.32"	73	42	"5,652.68"	948	 	
31591	Laryngoplasty medialization	J1	5165	"5,810.32"	865	673	"5,638.69"	949	 	
21453	Cltx mndblr fx ntrdntl fixj	J1	5165	"5,810.32"	95	79	"5,638.37"	950	 	
30410	Reconstruction of nose	J1	5165	"5,810.32"	23	3	"5,619.58"	951	 	
21209	Reduction of facial bones	J1	5165	"5,810.32"	44	8	"5,610.37"	952	 	
40844	Reconstruction of mouth	J1	5165	"5,810.32"	2	1	"5,591.44"	953	 	
21060	Remove jaw joint cartilage	J1	5165	"5,810.32"	7	4	"5,589.11"	954	 	
42842	Extensive surgery of throat	J1	5165	"5,810.32"	41	19	"5,582.80"	955	 	
21142	Lefort i-2 piece w/o graft	J1	5165	"5,810.32"	3	1	"5,575.03"	956	 	
42890	Limited pharyngectomy	J1	5165	"5,810.32"	57	18	"5,560.65"	957	 	
42410	Excise parotid gland/lesion	J1	5165	"5,810.32"	541	419	"5,559.50"	958	 	
21044	Removal of jaw bone lesion	J1	5165	"5,810.32"	72	40	"5,532.54"	959	 	
40840	Reconstruction of mouth	J1	5165	"5,810.32"	69	43	"5,505.84"	960	 	
69635	Repair eardrum structures	J1	5165	"5,810.32"	43	25	"5,501.68"	961	 	
69970	Remove inner ear lesion	J1	5165	"5,810.32"	7	5	"5,449.42"	962	 	
21049	Excis uppr jaw cyst w/repair	J1	5165	"5,810.32"	14	11	"5,414.99"	963	 	
30420	Reconstruction of nose	J1	5165	"5,810.32"	244	43	"5,411.68"	964	 	
42225	Reconstruct cleft palate	J1	5165	"5,810.32"	4	4	"5,399.14"	965	 	
69660	Revise middle ear bone	J1	5165	"5,810.32"	358	320	"5,378.30"	966	 	
21150	Lefort ii anterior intrusion	J1	5165	"5,810.32"	1	1	"5,374.20"	967	 	
21240	Reconstruction of jaw joint	J1	5165	"5,810.32"	114	77	"5,363.23"	968	 	
42425	Excise parotid gland/lesion	J1	5165	"5,810.32"	24	14	"5,362.87"	969	 	
69661	Revise middle ear bone	J1	5165	"5,810.32"	81	73	"5,323.44"	970	 	
69662	Revise middle ear bone	J1	5165	"5,810.32"	78	61	"5,312.14"	971	 	
31554	Laryngoplasty laryngeal sten	J1	5165	"5,810.32"	6	3	"5,289.17"	972	 	
69632	Rebuild eardrum structures	J1	5165	"5,810.32"	172	86	"5,269.05"	973	 	
21249	Reconstruction of jaw	J1	5165	"5,810.32"	35	22	"5,225.80"	974	 	
40843	Reconstruction of mouth	J1	5165	"5,810.32"	7	3	"5,133.02"	975	 	
21407	Opn tx orbit fx w/implant	J1	5165	"5,810.32"	21	8	"5,130.60"	976	 	
43030	Cricopharyngeal myotomy	J1	5165	"5,810.32"	127	83	"5,108.18"	977	 	
69320	Rebuild outer ear canal	J1	5165	"5,810.32"	3	1	"5,104.69"	978	 	
C9771	Nsl/sins cryo post nasal tis	J1	5165	"5,810.32"	0	33	"5,099.94"	979	YES	
31243	Nsl/sinus ndsc cryoabltj pnn	J1	5165	"5,810.32"	0	7	"5,099.01"	980	 	
42215	Reconstruct cleft palate	J1	5165	"5,810.32"	4	2	"5,027.92"	981	 	
42950	Reconstruction of throat	J1	5165	"5,810.32"	88	26	"4,970.61"	982	 	
30600	Repair mouth/nose fistula	J1	5165	"5,810.32"	40	25	"4,936.79"	983	 	
31750	Tracheoplasty cervical	J1	5165	"5,810.32"	13	5	"4,921.89"	984	 	
21175	Reconstruct orbit/forehead	J1	5165	"5,810.32"	2	2	"4,920.49"	985	 	
21048	Remove maxilla cyst complex	J1	5165	"5,810.32"	64	38	"4,880.11"	986	 	
41827	Excision of gum lesion	J1	5165	"5,810.32"	43	26	"4,871.35"	987	 	
21034	Excise max/zygoma mal tumor	J1	5165	"5,810.32"	46	21	"4,864.06"	988	 	
41019	Place needles h&n for rt	J1	5165	"5,810.32"	25	22	"4,856.20"	989	 	
40527	Reconstruct lip with flap	J1	5165	"5,810.32"	23	20	"4,850.18"	990	 	
69310	Rebuild outer ear canal	J1	5165	"5,810.32"	277	167	"4,822.09"	991	 	
21046	Remove mandible cyst complex	J1	5165	"5,810.32"	159	114	"4,813.67"	992	 	
31552	Laryngoplasty laryngeal sten	J1	5165	"5,810.32"	4	2	"4,810.41"	993	 	
42260	Repair nose to lip fistula	J1	5165	"5,810.32"	4	3	"4,808.54"	994	 	
30150	Rhinectomy partial	J1	5165	"5,810.32"	243	139	"4,805.42"	995	 	
69960	Release inner ear canal	J1	5165	"5,810.32"	2	2	"4,795.16"	996	 	
42182	Repair palate	J1	5165	"5,810.32"	6	4	"4,768.37"	997	 	
30462	Revision of nose	J1	5165	"5,810.32"	6	4	"4,766.88"	998	 	
69706	Nps surg dilat eust tube bi	J1	5165	"5,810.32"	621	163	"4,759.39"	999	 	
43180	Esophagoscopy rigid trnso	J1	5165	"5,810.32"	737	656	"4,758.47"	"1,000"	 	
21248	Reconstruction of jaw	J1	5165	"5,810.32"	95	36	"4,754.49"	"1,001"	 	
42440	Excise submaxillary gland	J1	5165	"5,810.32"	850	715	"4,721.27"	"1,002"	 	
31614	Tracheostoma revj complex	J1	5165	"5,810.32"	35	21	"4,711.05"	"1,003"	 	
30468	Rpr nsl vlv collapse w/implt	J1	5165	"5,810.32"	287	50	"4,698.28"	"1,004"	 	
21235	Ear cartilage graft	J1	5165	"5,810.32"	"2,431"	729	"4,694.20"	"1,005"	 	
31032	Explore sinus remove polyps	J1	5165	"5,810.32"	33	11	"4,681.98"	"1,006"	 	
21087	Impres&prep nasal prosth	J1	5165	"5,810.32"	27	26	"4,676.74"	"1,007"	 	
69705	Nps surg dilat eust tube uni	J1	5165	"5,810.32"	350	80	"4,666.14"	"1,008"	 	
69140	Remove ear canal lesion(s)	J1	5165	"5,810.32"	69	47	"4,658.66"	"1,009"	 	
69631	Repair eardrum structures	J1	5165	"5,810.32"	"1,350"	742	"4,645.70"	"1,010"	 	
40761	Repair cleft lip/nasal	J1	5165	"5,810.32"	6	4	"4,635.80"	"1,011"	 	
42107	Excision lesion mouth roof	J1	5165	"5,810.32"	33	24	"4,590.30"	"1,012"	 	
21025	Excision of bone lower jaw	J1	5165	"5,810.32"	462	304	"4,552.61"	"1,013"	 	
69636	Rebuild eardrum structures	J1	5165	"5,810.32"	24	9	"4,542.52"	"1,014"	 	
30465	Repair nasal stenosis	J1	5165	"5,810.32"	"1,182"	101	"4,529.73"	"1,015"	 	
69806	Explore inner ear	J1	5165	"5,810.32"	33	22	"4,422.90"	"1,016"	 	
30469	Rpr nsl vlv collapse w/rmdlg	J1	5165	"5,810.32"	213	12	"4,392.24"	"1,017"	 	
42870	Excision of lingual tonsil	J1	5165	"5,810.32"	70	29	"4,357.51"	"1,018"	 	
42815	Excision of neck cyst	J1	5165	"5,810.32"	53	45	"4,352.20"	"1,019"	 	
21181	Contour cranial bone lesion	J1	5165	"5,810.32"	12	7	"4,337.44"	"1,020"	 	
42820	Remove tonsils and adenoids	J1	5165	"5,810.32"	8	3	"4,296.20"	"1,021"	 	
31592	Cricotracheal resection	J1	5165	"5,810.32"	2	1	"4,279.55"	"1,022"	 	
42505	Repair salivary duct	J1	5165	"5,810.32"	85	21	"4,250.34"	"1,023"	 	
31200	Removal of ethmoid sinus	J1	5165	"5,810.32"	104	2	"4,250.25"	"1,024"	 	
69905	Remove inner ear	J1	5165	"5,810.32"	7	2	"4,247.18"	"1,025"	 	
42844	Extensive surgery of throat	J1	5165	"5,810.32"	17	10	"4,227.41"	"1,026"	 	
41120	Partial removal of tongue	J1	5165	"5,810.32"	"1,078"	788	"4,210.72"	"1,027"	 	
42725	Drainage of throat abscess	J1	5165	"5,810.32"	2	2	"4,187.04"	"1,028"	 	
42145	Repair palate pharynx/uvula	J1	5165	"5,810.32"	231	102	"4,122.33"	"1,029"	 	
42120	Remove palate/lesion	J1	5165	"5,810.32"	100	74	"4,098.17"	"1,030"	 	
69120	Removal of external ear	J1	5165	"5,810.32"	90	45	"4,062.99"	"1,031"	 	
31050	Exploration sphenoid sinus	J1	5165	"5,810.32"	18	3	"4,032.87"	"1,032"	 	
31587	Laryngoplasty cricoid split	J1	5165	"5,810.32"	4	1	"4,025.27"	"1,033"	 	
21445	Optx mndblr/max alv ridge fx	J1	5165	"5,810.32"	6	5	"4,021.36"	"1,034"	 	
42450	Excise sublingual gland	J1	5165	"5,810.32"	39	22	"3,977.49"	"1,035"	 	
42500	Repair salivary duct	J1	5165	"5,810.32"	168	46	"3,969.88"	"1,036"	 	
31755	Trachplsty trchphryngl fstlj	J1	5165	"5,810.32"	1	1	"3,904.59"	"1,037"	 	
31030	Exploration maxillary sinus	J1	5165	"5,810.32"	62	25	"3,836.49"	"1,038"	 	
31420	Epiglottidectomy	J1	5165	"5,810.32"	17	5	"3,824.33"	"1,039"	 	
30620	Intranasal reconstruction	J1	5165	"5,810.32"	20	10	"3,659.40"	"1,040"	 	
21026	Excision of facial bone(s)	J1	5165	"5,810.32"	165	89	"3,652.80"	"1,041"	 	
21030	Excise max/zygoma b9 tumor	J1	5165	"5,810.32"	118	86	"3,568.86"	"1,042"	 	
30580	Repair upper jaw fistula	J1	5165	"5,810.32"	142	50	"3,554.27"	"1,043"	 	
21330	Open tx nose fx w/skele fixj	J1	5165	"5,810.32"	20	11	"3,374.06"	"1,044"	 	
21081	Impres&prep mndbl res prosth	J1	5165	"5,810.32"	82	52	"3,247.31"	"1,045"	 	
31785	Remove windpipe lesion	J1	5165	"5,810.32"	17	5	"3,235.13"	"1,046"	 	
21356	Opn tx dprsd zygomatic arch	J1	5165	"5,810.32"	34	31	"3,179.44"	"1,047"	 	
30430	Revision of nose	J1	5165	"5,810.32"	14	5	"3,054.94"	"1,048"	 	
30125	Removal of nose lesion	J1	5165	"5,810.32"	2	1	"2,548.08"	"1,049"	 	
21360	Opn tx dprsd malar fracture	J1	5165	"5,810.32"	5	2	"2,432.06"	"1,050"	 	
41823	Excision of gum lesion	J1	5165	"5,810.32"	10	2	"2,263.48"	"1,051"	 	
40700	Repair cleft lip/nasal	J1	5165	"5,810.32"	2	2	"2,240.01"	"1,052"	 	
41016	Drainage of mouth lesion	J1	5165	"5,810.32"	13	8	"2,132.96"	"1,053"	 	
42200	Reconstruct cleft palate	J1	5165	"5,810.32"	2	1	"2,111.97"	"1,054"	 	
42825	Removal of tonsils	J1	5165	"5,810.32"	1	1	"1,263.25"	"1,055"	 	
51999	Unlisted laps px bladder	J1	5361	"5,714.17"	325	102	"10,330.52"	"1,056"	 	
55550	Laparo ligate spermatic vein	J1	5361	"5,714.17"	13	4	"10,124.78"	"1,057"	 	
50949	Unlisted laps px ureter	J1	5361	"5,714.17"	228	50	"9,998.02"	"1,058"	 	
50945	Laparoscopy ureterolithotomy	J1	5361	"5,714.17"	34	6	"9,749.62"	"1,059"	 	
32606	Thoracoscopy w/bx med space	J1	5361	"5,714.17"	47	36	"9,497.63"	"1,060"	 	
38129	Unlisted laps px spleen	J1	5361	"5,714.17"	8	3	"9,238.63"	"1,061"	 	
38589	Unlisted laps px lymphtc sys	J1	5361	"5,714.17"	596	62	"8,819.09"	"1,062"	 	
58679	Unlisted laps px ovidct ovry	J1	5361	"5,714.17"	24	9	"8,796.01"	"1,063"	 	
50549	Unlisted laps px renal	J1	5361	"5,714.17"	67	25	"8,544.63"	"1,064"	 	
49653	Lap vent/abd hern proc comp	J1	5361	"5,714.17"	1	1	"8,432.35"	"1,065"	YES	
58545	Laparoscopic myomectomy	J1	5361	"5,714.17"	101	31	"8,155.73"	"1,066"	 	
43659	Unlisted laps px stomach	J1	5361	"5,714.17"	771	371	"8,129.52"	"1,067"	 	
58578	Unlisted laps px uterus	J1	5361	"5,714.17"	81	18	"8,017.21"	"1,068"	 	
47579	Unlisted laps px biliary trc	J1	5361	"5,714.17"	73	22	"7,611.54"	"1,069"	 	
47540	Perq plmt bile duct stent	J1	5361	"5,714.17"	28	18	"7,495.00"	"1,070"	 	
38570	Laparoscopy lymph node biop	J1	5361	"5,714.17"	"5,083"	278	"7,337.11"	"1,071"	 	
47382	Percut ablate liver rf	J1	5361	"5,714.17"	"2,365"	"2,071"	"7,319.65"	"1,072"	 	
50592	Perc rf ablate renal tumor	J1	5361	"5,714.17"	"1,518"	950	"7,199.47"	"1,073"	 	
47539	Perq plmt bile duct stent	J1	5361	"5,714.17"	61	28	"7,174.09"	"1,074"	 	
60240	Removal of thyroid	J1	5361	"5,714.17"	"4,344"	"3,980"	"7,050.70"	"1,075"	 	
49659	Unlstd laps px hrnap hrnrphy	J1	5361	"5,714.17"	"1,327"	525	"7,026.52"	"1,076"	 	
45499	Laparoscope proc rectum	J1	5361	"5,714.17"	20	8	"7,003.27"	"1,077"	 	
58550	Laparo-asst vag hysterectomy	J1	5361	"5,714.17"	124	63	"6,975.28"	"1,078"	 	
47379	Unlisted laps px liver	J1	5361	"5,714.17"	"2,063"	521	"6,754.32"	"1,079"	 	
59151	Treat ectopic pregnancy	J1	5361	"5,714.17"	49	42	"6,469.37"	"1,080"	 	
49651	Lap ing hernia repair recur	J1	5361	"5,714.17"	"6,130"	"3,607"	"6,469.28"	"1,081"	 	
44979	Unlisted laps px appendix	J1	5361	"5,714.17"	118	3	"6,432.24"	"1,082"	 	
51990	Laparo urethral suspension	J1	5361	"5,714.17"	"1,297"	14	"6,397.85"	"1,083"	 	
44970	Laparoscopy appendectomy	J1	5361	"5,714.17"	"10,491"	"9,877"	"6,378.06"	"1,084"	 	
47538	Perq plmt bile duct stent	J1	5361	"5,714.17"	350	270	"6,369.20"	"1,085"	 	
32998	Ablate pulm tumor perq rf	J1	5361	"5,714.17"	210	141	"6,290.56"	"1,086"	 	
32601	Thoracoscopy diagnostic	J1	5361	"5,714.17"	48	24	"6,277.22"	"1,087"	 	
60659	Unlisted laps px endoc sys	J1	5361	"5,714.17"	3	2	"6,231.47"	"1,088"	 	
49650	Lap ing hernia repair init	J1	5361	"5,714.17"	"48,397"	"28,643"	"6,223.32"	"1,089"	 	
51500	Removal of bladder cyst	J1	5361	"5,714.17"	19	15	"6,193.85"	"1,090"	 	
44238	Unlisted laps px intestine	J1	5361	"5,714.17"	473	209	"6,162.20"	"1,091"	 	
60220	Partial removal of thyroid	J1	5361	"5,714.17"	"6,049"	"5,162"	"6,144.59"	"1,092"	 	
49594	Rpr aa hrn 1st 3-10 ncr/strn	J1	5361	"5,714.17"	"9,454"	"8,265"	"6,143.24"	"1,093"	 	
58662	Laparoscopy excise lesions	J1	5361	"5,714.17"	"1,528"	475	"6,135.82"	"1,094"	 	
32609	Thoracoscopy w/bx pleura	J1	5361	"5,714.17"	432	194	"6,070.41"	"1,095"	 	
58661	Laparoscopy remove adnexa	J1	5361	"5,714.17"	"8,463"	"4,370"	"6,058.11"	"1,096"	 	
38745	Remove armpit lymph nodes	J1	5361	"5,714.17"	625	439	"6,033.16"	"1,097"	 	
60210	Partial thyroid excision	J1	5361	"5,714.17"	458	282	"6,025.70"	"1,098"	 	
49323	Laparo drain lymphocele	J1	5361	"5,714.17"	70	33	"6,019.47"	"1,099"	 	
60225	Partial removal of thyroid	J1	5361	"5,714.17"	166	140	"5,957.18"	"1,100"	 	
49329	Unlstd laps px abd pertm&omn	J1	5361	"5,714.17"	"3,316"	709	"5,948.83"	"1,101"	 	
44186	Lap jejunostomy	J1	5361	"5,714.17"	193	107	"5,797.67"	"1,102"	 	
51992	Laparo sling operation	J1	5361	"5,714.17"	384	75	"5,793.51"	"1,103"	 	
43773	Lap replace gastr adj device	J1	5361	"5,714.17"	13	13	"5,783.74"	"1,104"	 	
54692	Laparoscopy orchiopexy	J1	5361	"5,714.17"	1	0	"5,714.17"	"1,105"	 	
0340T	Ablate pulm tumors + extnsn	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,106"	YES	
49491	Rpr hern preemie reduc	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,107"	 	
49561	Rpr ventral hern init block	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,108"	YES	
49566	Rerepair ventrl hern block	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,109"	YES	
49572	Rpr epigastric hern blocked	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,110"	YES	
49582	Rpr umbil hern block < 5 yr	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,111"	YES	
49587	Rpr umbil hern block > 5 yr	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,112"	YES	
54699	Unlisted laps px testis	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,113"	 	
58672	Laparoscopy fimbrioplasty	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,114"	 	
59898	Unlstd laps px mat care&dlvr	J1	5361	"5,714.17"	0	0	"5,714.17"	"1,115"	 	
59150	Treat ectopic pregnancy	J1	5361	"5,714.17"	3	2	"5,686.68"	"1,116"	 	
47563	Laparo cholecystectomy/graph	J1	5361	"5,714.17"	"17,781"	"16,192"	"5,679.79"	"1,117"	 	
58660	Laparoscopy lysis	J1	5361	"5,714.17"	102	68	"5,663.25"	"1,118"	 	
49321	Laparoscopy biopsy	J1	5361	"5,714.17"	"2,755"	"1,335"	"5,585.84"	"1,119"	 	
44180	Lap enterolysis	J1	5361	"5,714.17"	937	786	"5,426.81"	"1,120"	 	
49614	Rpr aa hrn rcr < 3 ncr/strn	J1	5361	"5,714.17"	506	418	"5,380.73"	"1,121"	 	
39401	Mediastinoscpy w/medstnl bx	J1	5361	"5,714.17"	128	85	"5,372.41"	"1,122"	 	
60212	Partial thyroid excision	J1	5361	"5,714.17"	21	17	"5,317.41"	"1,123"	 	
47562	Laparoscopic cholecystectomy	J1	5361	"5,714.17"	"35,737"	"33,302"	"5,296.50"	"1,124"	 	
43653	Laparoscopy gastrostomy	J1	5361	"5,714.17"	244	164	"5,289.22"	"1,125"	 	
49322	Laparoscopy aspiration	J1	5361	"5,714.17"	236	74	"5,206.80"	"1,126"	 	
38542	Explore deep node(s) neck	J1	5361	"5,714.17"	162	59	"5,160.86"	"1,127"	 	
43651	Laparoscopy vagus nerve	J1	5361	"5,714.17"	10	1	"5,158.60"	"1,128"	 	
49540	Repair lumbar hernia	J1	5361	"5,714.17"	63	56	"5,123.59"	"1,129"	 	
60200	Remove thyroid lesion	J1	5361	"5,714.17"	221	62	"5,089.93"	"1,130"	 	
39402	Mediastinoscpy w/lmph nod bx	J1	5361	"5,714.17"	"1,148"	686	"5,087.67"	"1,131"	 	
43652	Laparoscopy vagus nerve	J1	5361	"5,714.17"	5	3	"4,993.75"	"1,132"	 	
38740	Remove armpit lymph nodes	J1	5361	"5,714.17"	127	73	"4,905.94"	"1,133"	 	
55559	Unlstd laps px sprmatic cord	J1	5361	"5,714.17"	326	8	"4,901.40"	"1,134"	 	
54690	Laparoscopy orchiectomy	J1	5361	"5,714.17"	21	4	"4,714.25"	"1,135"	 	
49320	Diag laparo separate proc	J1	5361	"5,714.17"	"2,540"	"1,682"	"4,552.83"	"1,136"	 	
49592	Rpr aa hrn 1st < 3 ncr/strn	J1	5361	"5,714.17"	"6,856"	"5,142"	"4,532.10"	"1,137"	 	
60280	Remove thyroid duct lesion	J1	5361	"5,714.17"	191	163	"4,521.03"	"1,138"	 	
58670	Laparoscopy tubal cautery	J1	5361	"5,714.17"	53	36	"4,334.97"	"1,139"	 	
