	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
0453U	Onc clrct ca cfdna qpcr asy	A 		NJ24			
0454T	Insj/rplcmt subq electrode	J1	5222	PD22			
0454U	Rare ds id opt genome mapg	A 		NJ24			
0455T	Remvl aortic ventr cmpl sys	C		PD22			
0455U	Nfct agt sti mult amp prb ur	N		NJ24			
0456T	Remvl aortic dev vasc seal	C		PD22			
0456U	Ai ra ngs 19 genes anti-ccp	A		D25			
0457T	Remvl mech-elec skin ntrfce	N	5221	PD22			
0457U	Pfas 9 cmpnd lcms/ms pls/sr	N		NJ24			
0458T	Remvl subq electrode	N	5221	PD22			
0458U	Onc brst ca s100 a8&a9 elisa	N		NJ24			
0459T	Relocaj rplcmt aortic ventr	C		PD22			
0459U	Abeta42 & ttau eclia csf	N		NJ24			
0460T	Repos aortic ventr dev eltrd	T	5221	PD22			
0460U	Onc whl bld/bucc rtpcr 24gen	A		NJ24			
0461T	Repos aortic contrpulsj dev	C		PD22			
0461U	Onc rxgenom alys rtpcr 24gen	A 		NJ24			
0462T	Prgrmg eval aortic ventr sys	S	5743	PD22			
0462U	Melatonin lvl tst slp std7/9	N		NJ24			
0463T	Interrog aortic ventr sys	S	5743	PD22			
0463U	Onc crvx mrna genxprsn 14bmk	A		NJ24			
0464T	Visual ep test for glaucoma	S	5721	NP17			
0464U	Onc clrct scr qrtsa dna mrk	E1 		NJ24			
0465T	Supchrdl njx rx w/o supply	T	5694	PD24			
0465U	Onc urthl carc dna qmsp 2gen	A 		NJ24			
0466T	Insj ch wal respir eltrd/ra	N		PD22			
0466U	Crd cad dna gwas 564856 snp	A 		NJ24			
0467T	Revj/rplmnt ch respir eltrd	J1	5461	PD22			
0467U	Onc bldr dna ngs 60gen&aneup	A 		NJ24			
0468T	Rmvl ch wal respir eltrd/ra	J1	5461	PD22			
0468U	Hep nash mir34a5p a2m ykl40	N		NJ24			
0469T	Rta polarize scan oc scr bi	E1		NJ17			
0469U	Rare ds whl gen seq ftl samp	A 		NJ24			
0470T	Oct skn img acquisj i&r 1st	M		PD23			
0470U	Onc orop detcj mrd 8 dna hpv	A 		NJ24			
0471T	Oct skn img acquisj i&r addl	N		PD23			
0471U	Onc clrc ca 35 vrn kras&nras	A 		NJ24			
0472T	Prgrmg io rta eltrd ra	N	5743	NJ17			
0472U	Ca vi psp&sp1 antb sjogren	N 		NJ24			
0473T	Reprgrmg io rta eltrd ra	N	5742	NJ17			
0473U	Onc sld tum bld/slv 648 gene	A 		NJ24			
0474T	Insj aqueous drg dev io rsvr	E1		NJ17			
0474U	Hered pan ca gsap 88gene ngs	A 		NJ24			
0475T	Rec ftl car sgl 3 ch i&r	M		PD23			
0475U	Hered prst8 ca gsap 23 genes	A 		NJ24			
0476T	Rec ftl car sgl elec tr data	N	5734	PD23			
0476U	Rx metab psyc 14gen&cyp2d6	A 		NO24			
0477T	Rec ftl car sgl xrtj alys	N	5734	PD23			
0477U	Rx metab psy 14&cyp2d6 gn-rx	A 		NO24			
0478T	Rec ftl car 3 ch rev i&r	M		PD23			
0478U	Onc nsclc dna&rna dpcr 9gens	A 		NO24			
0479T	Fxjl abl lsr 1st 100 sq cm	T	5053	NP18			
0479U	Tau phosphorylated ptau217	N		NO24			
0480T	Fxjl abl lsr ea addl 100sqcm	N		NP18			
0480U	Nfct ds csf metag ngs alys	N		NO24			
0481T	Njx autol wbc concentrate	N	5735	NP18			
0481U	Idh1 idh2&tert promoter ngs	A 		NO24			
0482T	Absl quan myocrd bld flo pet	N		PD20			
0482U	Ob pe biochem asy sflt1&plgf	N		NO24			
0483T	Tmvi percutaneous approach	C		NP18			
0483U	Nfct ds ng gyra s91f pt mut 	N		NO24			
0484T	Tmvi transthoracic exposure	C		NP18			
0484U	Nfct ds mgen 23s rrna pt mut	N		NO24			
0485T	Oct mid ear i&r unilateral	N	5732	NP18			
0485U	Onc sol tum cfdna&rna ngs gm	A 		NO24			
0486T	Oct mid ear i&r bilateral	N	5732	NP18			
0486U	Onc pan sol tum ngs cfctdna	A 		NO24			
0487T	Trvg biomchn mapg w/reprt	N	5734	PD23			
0487U	Onc sol tum cfcdna tgsap 84	A 		NO24			
0488T	Diabetes prev online/elec	E1		NP18			
0488U	Ob fetal ag nipt cfdna alys	E1		NO24			
0489T	Regn cell tx scldr hands	E1		NP18			
0489U	Ob sgnipt cfdna seq alys 1+	E1		NO24			
0490T	Regn cell tx scldr h mlt inj	E1		NP18			
0490U	Onc cutan/uveal mlnma cd146	N		NO24			
0491T	Abl lsr opn wnd 1st 20 sqcm	T	5052	PD23			
0491U	Onc sol tum ctc slct er prtn	N		NO24			
0492T	Abl lsr opn wnd addl 20 sqcm	N		PD23			
0492U	Onc sol tum ctc slctn pd-l1	N		NO24			
0493T	Cntc near ifr spectrsc wound	N		PD23			
0493U	Trnspl med quan dd-cfdna ngs	A 		NO24			
0494T	Prep & cannulj cdvr don lung	C		NP18			
0494U	Rbc ag ftl rhd gene alys ngs	A 		NO24			
0495T	Mntr cdvr don lng 1st 2 hrs	C		NP18			
0495U	Onc prst8 alys crcg plsm prt	N		NO24			
0496T	Mntr cdvr don lng ea addl hr	C		NP18			
0496U	Onc clrct cfdna 8/7 genes	A 		NO24			
0497T	Xtrnl pt act ecg in-off conn	N	5741	PD23			
0497U	Onc prst8 mrna rt-pcr 6genes	A 		NO24			
0498T	Xtrnl pt act ecg r&i pr 30 d	M		PD23			
0498U	Onc clrct ngs mut detc 43gen	A 		NO24			
0499T	Cysto f/urtl strix/stenosis	J1	5375	PD24			
0499U	Onc clrct&lng dna ngs 8genes	A 		NO24			
0500F	Initial prenatal care visit	E1		CF11			
0500T	Hpv 5+ hi risk hpv types	A		PD25			
0500U	Autoinflam ds vexas synd dna	A 		NO24			
0501F	Prenatal flow sheet	E1		CF11			
0501T	Cor ffr derived cor cta data	M		PD24			
0501U	Onc clrc bld quan meas cfdna	E1		NO24			
0502F	Subsequent prenatal care	E1		CF11			
0502T	Cor ffr data prep & transmis	N		PD24			
0502U	Hpv e6/e7 mrk hi-rsk typ crv	N		NO24			
0503F	Postpartum care visit	E1		CF11			
0503T	Cor ffr alys gnrj ffr mdl	S	5724	PD24			
0503U	Neuro alz ds bamyl&tau prtn	N		NO24			
0504T	Cor ffr data review i&r	M		PD24			
0504U	Nfct ds uti id 17 path orgs	N		NO24			
0505F	Hemodialysis plan docd	E1		NO6			
0505T	Ev fempop artl revsc	J1	5193	NJ18			
0505U	Nfct ds vag infctj id 32orgs	N		NO24			
0506T	Mac pgmt opt dns meas hfp	N	5733	NJ18			
0506U	Gi barretts esophgl cell 89 	A 		NO24			
0507F	Periton dialysis plan docd	E1		NO6			
0507T	Near ifr 2img mibmn glnd i&r	N	5733	NJ18			
0507U	Onc ovr dna whole gen w/5hmc	A 		NO24			
0508T	Pls echo us b1 dns meas tib	S	5522	PD24			
0508U	Trnsplj med dd-cfdna 40 snps	A 		NO24			
0509F	Urine incon plan docd	M		NA7			
0509T	Pattern erg w/i&r	S	5722	NP19			
0509U	Trnsplj med dd-cfdna<12 snps	A 		NO24			
0510T	Rmvl sinus tarsi implant	N	5113	NP19			
0510U	Onc pncrtc ca alg alys 16gen	N		NO24			
0511T	Rmvl&rinsj sinus tarsi implt	J1	5114	NP19			
0511U	Onc sol tum 3dmicroenvir 36+ 	N		NO24			
0512T	Esw integ wnd hlg 1st wnd	S	5051	NP19			
0512U	Onc prst8 alys dgtz img msi	N		NO24			
0513F	Elev bp plan of care docd	M		NI8			
0513T	Esw integ wnd hlg ea addl	N		NP19			
0513U	Onc prst8 alg alys msi&hrd	N		NO24			
0514F	Care plan hgb docd esa pt	E1		NI8			
0514T	Intraop vis axis id pt fixj	N 		PD23			
0514U	Gi ibd ia quan deter adl lvl	N		NO24			
0515T	Insj wcs lv compl sys	J1	5231	NP19			
0515U	Gi ibd ia quan deter ifx lvl	N		NO24			
0516F	Anemia plan of care docd	E1		NI8			
0516T	Insj wcs lv eltrd only	J1	5223	NP19			
0516U	Rx metab rxgenomic gnotyp 40	A 		NO24			
0517F	Glaucoma plan of care docd	E1		NI8			
0517T	Insj wcs lv both compnt pg	J1	5223	NP19			
0517U	Ther rx mntr 80+ psyactiv rx	N		NO24			
0518F	Fall plan of care docd	M		NI8			
0518T	Rmvl pg wcs lv battery only	N	5221	NP19			
0518U	Ther rx mntr 90+ pn&mtl hlth	N		NO24			
0519F	Pland chemo docd b/4 txmnt	E1		NI8			
0519T	Rmv&rplcmt pg wcs lv both	J1	5223	NP19			
0519U	Ther rx mntr meds p/d/a 110+	N		NO24			
0520F	Rad dos limts b/4 3d rad	M		NI8			
0520T	Rmv&rplcmt pg wcs lv battery	J1	5223	NP19			
0520U	Ther rx mntr 200+ rx/sbsts	N		NO24			
0521F	Plan of care 4 pain docd	M		NI8			
0521T	Interrog dev eval wcs ip	N 	5731	NP19			
0521U	Rf iga&igm ccp antb sr-a ia	N 		NI25			
0522T	Prgrmg dev eval wcs ip	N 	5741	NP19			
0522U	Ca vi psp&sp1 antb cl semiql	N 		NI25			
0523T	Ntrapx c ffr w/3d funcjl map	N		NP19			
0523U	Onc soltum dna ngs snv 22gen	A		NI25			
0524T	Ev cath dir chem abltj w/img	J1	5183	NP19			
0524U	Ob pe sflt-1/plgf ia srm/pls	N 		NI25			
0525F	Initial visit for episode	E1		NA8			
0525T	Insj/rplcmt compl iims	J1	5224	NP19			
0525U	Onc sphrd cell cul 11-rx pnl	N 		NI25			
0526F	Subs visit for episode	M		NA8			
0526T	Insj/rplcmt iims eltrd only	J1	5222	NP19			
0526U 	Nefro rnl trnspl quan cxcl10	N 		NI25			
0527T	Insj/rplcmt iims implt mntr	J1	5222	NP19			
0527U	Hsv 1&2 vzv amp prb tq pthgn	N 		NI25			
0528F	Rcmnd flw-up 10 yrs docd	E1		NI9			
0528T	Prgrmg dev eval iims ip	N	5741	NP19			
0528U	Lrt iad 18bct/8vir&7arg rna	N 		NI25			
0529F	Intrvl 3/>yr pts clnscp docd	M		NI9			
0529T	Interrog dev eval iims ip	N	5741	NP19			
0529U	Hem vte snp f2&f5 gen leiden	A		NI25			
0530T	Removal complete iims	N	5221	NP19			
0530U 	Onc pan-sol tum ctdna 77 gen	A		NI25			
0531T	Removal iims electrode only	N	5221	NP19			
0532T	Removal iims implt mntr only	N	5221	NP19			
0533T	Cont rec mvmt do 6-10 days	M		PD24 			
0534T	Cont rec mvmt do setup&train	N	5741	PD24 			
0535F	Dyspnea mngmnt plan docd	E1		NI9			
0535T	Cont rec mvmt do reprt cnfig	N	5741	PD24 			
0536T	Cont rec mvmt do dl w/i&r	M		PD24 			
0537T	Bld drv t lymphcyt car-t cll	B		PD25			
0538T	Bld drv t lymphcyt prep trns	B		PD25			
0539T	Receipt&prep car-t cll admn	B		PD25			
0540F	Gluco mngmnt plan docd	M		NI9			
0540T	Car-t cll admn autologous	S	5694	PD25			
0541T	Myocardial imaging mcg	S	5723	NP19			
0542T	Myocardial imaging mcg i&r	M		NP19			
0543T	Ta mv rpr w/artif chord tend	C		NJ19			
0544T	Tcat mv annulus rcnstj	C		NJ19			
0545F	Follow up care plan mdd docd	E1		NI10			
0545T	Tcat tv annulus rcnstj	C		NJ19			
0546T	Rf spectrsc ntraop mrgn asmt	N		NJ19			
0547T	B1 matrl qual tst mcrind tib	E1		NJ19			
0548T	Tprnl balo cntnc dev bi	J1	5377	PD22			
0549T	Tprnl balo cntnc dev uni	J1	5376	PD22			
0550F	Cytopath report nongyn spcmn	E1		NI12			
0550T	Tprnl balo cntnc dev rmvl ea	J1	5374	PD22			
0551F	Cytopath report non routine	E1		NI12			
0551T	Tprnl balo cntnc dev adjmt	T	5371	PD22			
0552T	Low-level laser therapy	M		NJ19			
0553T	Perq tcat iliac anast implt	E1		PD25			
0554T	B1 str & fx rsk analysis	M		NJ19			
0555F	Symptom mgmnt plan care docd	E1		NI12			
0555T	B1 str&fx rsk transmis data	S	5731	NJ19			
0556F	Plan care lipid control docd	E1		NI12			
0556T	B1 str & fx rsk assessment	S	5523	NJ19			
0557F	Plan caremng angnl symptdocd	E1		NI12			
0557T	B1 str & fx rsk i&r	M		NJ19			
0558T	Ct scan f/biomchn ct alys	S	5521	NJ19			
0559T	Antmc mdl 3d print 1st cmpnt	N	5733	NJ19			
0560T	Antmc mdl 3d print ea addl	N		NJ19			
0561T	Antmc guide 3d print 1st gd	N	5733	NJ19			
0562T	Antmc guide 3d print ea addl	N		NJ19			
0563T	Evac meibomian glnd heat bi	N	5733	NP20			
0564T	Onc chemo rx cytotox csc 14	N	5671	PD25			
0565T	Autol cell implt adps hrvg	E1		NP20			
0566T	Autol cell implt adps njx	E1		NP20			
0567T	Perm flp tube occls w/implt	E1		PD25			
0568T	Intro mix saline&air f/ssg	E1		PD25			
0569T	Ttvr perq appr 1st prosth	C		NP20			
0570T	Ttvr perq ea addl prosth	C		NP20			
0571T	Insj/rplcmt icds ss eltrd	J1	5232	NP20			
0572T	Insertion ss dfb electrode	J1	5222	NP20			
0573T	Removal ss dfb electrode	N	5221	NP20			
0574T	Repos prev ss impl dfb eltrd	N	5221	NP20			
0575F	Hiv rna plan care docd	E1		NI9			
0575T	Prgrmg dev eval icds ss ip	N	5741	NP20			
0576T	Interrog dev eval icds ss ip	N	5741	NP20			
0577T	Ephys eval icds ss	J1	5211	NP20			
0578T	Rem interrog dev icds phys	M		NP20			
0579T	Rem interrog dev icds tech	N	5741	NP20			
0580F	Multidisciplinary care plan	E1		NI13			
0580T	Rmvl ss impl dfb pg only	N	5221	NP20			
0581F	Pt trnsfrd from anesth to cc	M		NI13			
0581T	Abltj mal brst tum perq crtx	J1	5091	NP20			
0582F	No trnsfr from anesth to cc	E1		NI13			
0582T	Trurl abltj mal prst8 tiss	E1		NP20			
0583F	Transfer care checklist used	M		NI13			
0583T	Tmpst auto tube dlvr sys	J1	5163	NP20			
0584F	No transfercare chklist used	E1		NI13			
0584T	Perq islet cell transplant	C		NP20			
0585T	Laps islet cell transplant	C		NP20			
0586T	Open islet cell transplant	C		NP20			
0587T	Perq impltj/rplcmt isdns ptn	J1	5462	NP20			
0588T	Revision/removal isdns ptn	J1	5461	NP20			
0589T	Elec alys smpl prgrmg iins	S	5742	NP20			
0590T	Elec alys cplx prgrmg iins	S	5742	NP20			
0591T	Hlth&wb coaching indiv 1st	E1		NP20			
0592T	Hlth&wb coaching indiv f-up	E1		NP20			
0593T	Hlth&wb coaching group	E1		NP20			
0594T	Osteot hum xtrnl lngth dev	J1	5114	NJ20			
0596T	Temp fml iu vlv-pmp 1st insj	J1	5372	NJ20			
0597T	Temp fml iu valve-pmp rplcmt	J1	5372	NJ20			
0598T	Ncntc r-t fluor wnd img 1st	T	5722	NJ20			
0599T	Ncntc r-t fluor wnd img ea	N		NJ20			
0600T	Ire abltj 1+tum organ perq	J1	5362	NJ20			
0601T	Ire abltj 1+tumors open	J1	5362	NJ20			
0602T	Transdermal gfr measurements	N		NJ20			
0603T	Transdermal gfr monitoring	N		NJ20			
0604T	Rem oct rta dev setup&educaj	E1		NJ20			
0605T	Rem oct rta techl sprt min 8	E1		NJ20			
0606T	Rem oct rta phys/qhp ea 30d	E1		NJ20			
0607T	Rem mntr pulm flu mntr setup	A		NJ20			
0608T	Rem mntr pulm flu mntr alys	A		NJ20			
0609T	Mrs disc pain acquisj data	S	5523	NJ20			
0610T	Mrs disc pain transmis data	N		NJ20			
0611T	Mrs disc pain alg alys data	S	5523	NJ20			
0612T	Mrs discogenic pain i&r	M		NJ20			
0613T	Perq tcat intratrl septl sht	E1		NJ20			
0614T	Rmvl&rplcmt ss impl dfb pg	J1	5231	NJ20			
0615T	Auto alys binocular eye mvmt	S	5734	NJ20			
0616T	Insertion of iris prosthesis	J1	5496	PD25			
0617T	Insj iris prosth w/rmvl&insj	J1	5496	PD25			
0618T	Insj iris prosth sec io lens	J1	5496	PD25			
0619T	Cysto w/prst8 commissurotomy	J1	5376	NJ20			
0620T	Evasc ven artlz tibl/prnl vn	S	1579	NP21			
0621T	Trabeculostomy interno laser	J1	5492	NP21			
0622T	Trabeculostomy int lsr w/scp	E1		NP21			
0623T	Auto quantification c plaque	M 		NP21			
0624T	Auto quan c plaq data prep	N		NP21			
0625T	Auto quan c plaq cptr alys	S	1511 	NP21			
0626T	Auto quan c plaq i&r	M		NP21			
0627T	Perq njx algc fluor lmbr 1st	J1	5115	NP21			
0628T	Perq njx algc fluor lmbr ea	N		NP21			
0629T	Perq njx algc ct lmbr 1st	J1	5115	NP21			
0630T	Perq njx algc ct lmbr ea	N		NP21			
0631T	Tc vis lit hyperspectral img	N	5731	NP21			
0632T	Perq tcat us abltj nrv p-art	J1	5194	NP21			
0633T	Ct breast w/3d uni c-	S	5522	NP21			
0634T	Ct breast w/3d uni c+	S	5571	NP21			
0635T	Ct breast w/3d uni c-/c+	S	5571	NP21			
0636T	Ct breast w/3d bi c-	S	5523	NP21			
0637T	Ct breast w/3d bi c+	S	5572	NP21			
0638T	Ct breast w/3d bi c-/c+	S	5572	NP21			
0639T	Wrls skn snr anisotropy meas	E1		NP21			
0640T	Ncntc ifr spctrsc o/t pad 1	T	5732	NJ21			
0641T	Ncntc nr ifr spctrsc wnd img	T	5732	PD24			
0642T	Ncntc nr ifr spctrsc wnd i&r	M		PD24			
0643T	Tcat l ventr rstrj dev implt	C		NJ21			
0644T	Tcat rmvl/dblk icar mas perq	J1	5192	NJ21			
0645T	Tcat impltj c sins rdctj dev	J1	5194	NJ21			
0646T	Ttvi/rplcmt w/prstc vlv perq	C		NJ21			
0647T	Insj gtube perq mag gastrpxy	J1	5302	NJ21			
0648T	Quan mr tis wo mri 1orgn	S	1511	NJ21			
0649T	Quan mr tiss w/mri 1orgn	S	1511	NJ21			
0650T	Prgrmg dev eval scrms remote	N	5741	NJ21			
0651T	Mag ctrld capsule endoscopy	T	5301	NJ21			
0652T	Egd flx transnasal dx br/wa	J1	5302	NJ21			
0653T	Egd flx transnasal bx 1/mlt	J1	5302	NJ21			
0654T	Egd flx transnasal tube/cath	J1	5303	NJ21			
0655T	Tprnl focal abltj mal prst8	J1	5375	NJ21			
0656T	Ant lmbr vrt bdy teth <7 seg	C 		NJ21			
0657T	Ant lmbr vrt bdy teth 8+ seg	C 		NJ21			
0658T	Elec impd spectrsc 1+skn les	S 	5733	NJ21			
0659T	Tcat intra-c nfs supersat o2	C 		NJ21			
0660T	Implt ant sgm io nbio rx sys	J1	5492	NJ21			
0661T	Rmvl&rimpltj ant sgm implt	J1	5492	NJ21			
0662T	Scalp cool 1st meas&calbrj	S 	1519	NJ21			
0663T	Scalp cool plmt mntr rmvl	N 		NJ21			
0664T	Don hysterectomy open cdvr	E1		NJ21			
0665T	Don hysterectomy open liv	E1		NJ21			
0666T	Don hysterectomy laps liv	E1		NJ21			
0667T	Don hysterectomy rcp uter	E1		NJ21			
0668T	Bkbench prep don uter algrft	E1		NJ21			
0669T	Bkbench rcnstj don uter ven	E1		NJ21			
0670T	Bkbench rcnstj don uter artl	E1		NJ21			
0671T	Insj ant sgm aq drg dev 1+	J1 	5493	NP22			
0672T	Ndovag cryg rf remdl tiss	E1		NP22			
0673T	Abltj b9 thyr ndul perq lasr	J1	5072	NP22			
0674T	Laps insj nw/rpcmt prm isdss	J1	5465	NP22			
0675T	Laps insj nw/rpcmt isdss 1ld	J1	5463	NP22			
0676T	Laps insj nw/rpcmt isdss ea	N		NP22			
0677T	Laps repos lead isdss 1st ld	J1	5362	NP22			
0678T	Laps repos lead isdss ea add	N		NP22			
0679T	Laps rmvl lead isdss	J1	5362	NP22			
0680T	Insj/rplcmt pg only isdss	J1	5464	NP22			
0681T	Rlcj pulse gen only isdss	J1	5461	NP22			
0682T	Removal pulse gen only isdss	J1	5461	NP22			
0683T	Prgrmg dev eval isdss ip	N	5741	NP22			
0684T	Peri-px dev eval isdss ip	N		NP22			
0685T	Interrog dev eval isdss ip	N	5741	NP22			
0686T	Histotripsy mal hepatcel tis	S	1576	NP22			
0687T	Tx amblyopia dev setup 1st	E1		NP22			
0688T	Tx amblyopia assmt w/report	E1		NP22			
0689T	Quan us tis charac w/o dx us	S 	5521	NP22			
0690T	Quan us tis charac w/dx us	N		NP22			
0691T	Auto alys xst ct std vrt fx	E1		NP22			
0692T	Therapeutic ultrafiltration	S	5242	NP22			
0693T	Compre ful bdy 3d mtn alys	S	1505	NP22			
0694T	3d vol img&rcnstj brst/ax	N 		NP22			
0695T	Bdy srf mpg pm/cvdfb tm impl	N		NP22			
0696T	Bdy surf mapg pm/cvdfb f/up	N	5741	NP22			
0697T	Quan mr tis wo mri mlt orgn	S	1511	NP22			
0698T	Quan mr tiss w/mri mlt orgn	S	1511	NP22			
0699T	Njx pst chmbr eye medication	J1	5491	NP22			
0700T	Molec fluor img sus nev 1st	M 		NP22			
0701T	Molec fluor img sus nev ea	M 		NP22			
0702T	Rem ther mntr ol tech sprt	N 	5741	PD23			
0703T	Rem ther mntr ol cog bhv	B 		PD23			
0704T	Rem tx amblyopia setup&edu	E1		NP22			
0705T	Rem tx amblyopia tech sprt	E1		NP22			
0706T	Rem tx amblyopia i&r phy/qhp	E1		NP22			
0707T	Njx b1 sub mtrl sbchdrl dfct	J1	5113	NP22			
0708T	Id ca immntx prep & 1st njx	E1		NP22			
0709T	Id ca immntx each addl njx	E1		NP22			
0710T	N-invas artl plaq alys	M 		NP22			
0711T	N-nvs artl plaq alys dat prp	N 		NP22			
0712T	N-nvs artl plaq alys quan	S 	5521	NP22			
0713T	N-nvs artl plaq alys rvw i&r	M 		NP22			
0714T	Tpla b9 prst8 hyprplsa<50ml	J1	5375	NJ22 			
0715T	Perq trluml coronry lithotrp	N 		PD24 			
0716T	Car acous wavfrm rec cad rsk	S	5733	NJ22			
0717T	Adrc ther prtl rc tear	T	5055	NJ22			
0718T	Adrc ther prtl rc tear njx	T	5055	NJ22			
0719T	Pst vrt jt rplcmt lmbr 1 sgm	E1		NJ22			
0720T	Prq elc nrv stim cn wo implt	S	5724	NJ22			
0721T	Quan ct tiss charac w/o ct	S	1508	NJ22			
0722T	Quan ct tiss charac w/ct	S	1508	NJ22			
0723T	Qmrcp w/o dx mri sm anat ses	S	1511	NJ22			
0724T	Qmrcp w/dx mri same anatomy	S	1511	NJ22			
0725T	Vestibular dev impltj uni	E1		NJ22			
0726T	Rmvl implt vstibular dev uni	E1		NJ22			
0727T	Rmvl&rplcmt implt vstblr dev	E1		NJ22			
0728T	Dx alys vstblr implt uni 1st	E1		NJ22			
0729T	Dx alys vstblr implt uni sbq	E1		NJ22			
0730T	Trabeculotomy lsr w/oct gdn	E1		NJ22			
0731T	Augmnt ai-based fcl phnt a/r	S	5733	NJ22			
0732T	Immntx admn electroporatn im	E1		NJ22			
0733T	Rem r-t mtn nrehab ther sply	S	1505	NJ22			
0734T	Rem r-t mtn nrehab tx mgmt	B		NJ22			
0735T	Prep tum cav iort prim crnot	N 		NJ22			
0736T	Colonic lavage 35+l water	S	5721	NJ22			
0737T	Xenograft impltj artclr surf	J1	5115	NJ22			
0738T	Tx pln mag fld abltj prst8	E1		NI23			
0739T	Abltj mal prst8 mag fld ndct	E1		NI23			
0740T	Rem auton alg nsln cal setup	S	5733	NI23			
0741T	Rem auton alg nsln data coll	S	5741	NI23			
0742T	Aqmbf spect xers/strs & rest	N		NP23			
0743T	B1 str & fx rsk vrt fx assmt	S	5523	CP25			
0744T	Insj bioprostc vlv fem vn	J1	5184	NP23			
0745T	Car ablt rad arr n-invas loc	E1		NP23			
0746T	Car ablt rad arr cnv loc map	E1		NI23			
0747T	Car ablt rad arrhyt dlvr rad	E1		NP23			
0748T	Njx stm cl prdct anl sft tis	E1		NP23			
0749T	B1 str&fx rsk assmt dxr-bmd	E1		NP23			
0750T	B1 str&fx rsk asmt dxrbmd1vw	E1		NP23			
0751T	Dgtz gls mcrscp sld level ii	N 		NP23			
0752T	Dgtz gls mcrscp sld lvl iii	N 		NP23			
0753T	Dgtz gls mcrscp sld level iv	N 		NP23			
0754T	Dgtz gls mcrscp sld level v	N 		NP23			
0755T	Dgtz gls mcrscp sld level vi	N 		NP23			
0756T	Dgtz gls mcrscp sld spc grpi	N 		NP23			
0757T	Dgtz gls mcrscp sl spc grpii	N 		NP23			
0758T	Dgtz gls mcrscp sl spc hchem	N 		NP23			
0759T	Dgtz gls mcrscp sl sp grpiii	N 		NP23			
0760T	Dgtz gls mcrscp sl imm 1st	N 		NP23			
0761T	Dgtz gls mcrscp sl imm ea 1	N 		NP23			
0762T	Dgtz gls mcrscp sl imm ea m	N 		NP23			
0763T	Dgtz gls mcrscp mphmtrc alys	N 		NP23			
0764T	Asstv alg ecg rsk asmt cncrt	S	5734	NP23			
0765T	Asstv alg ecg rsk asmt prev	S	5734	NP23			
0766T	Tc mag stimj pn 1st nerve	S	5722	NP23			
0767T	Tc mag stimj pn ea addl nrv	N		NP23			
0768T	Tc mag stimj pn sbsq tx 1nrv	N	5721	PD24 			
0769T	Tc mag stimj pn sbsq tx ea	N 		PD24 			
0770T	Vr technology assist therapy	E1		NP23			
0771T	Vr px dissoc svc sm phy 1st	E1		NP23			
0772T	Vr px dissoc svc sm phy ea	E1		NP23			
0773T	Vr px dissoc svc oth phy 1st	E1		NP23			
0774T	Vr px dissoc svc oth phy ea	E1		NP23			
0775T	Arthrd si jt prq iartic impl	J1	5116	PD24			
0776T	Ther indctj ntrabrn hypthrm	E1 		NP23			
0777T	R-t prs sensing edrl gdn sys	N 		NP23			
0778T	Smmg cncrnt appl imu snr	N	5721	NP23			
0779T	Gi myoelectrical actv study	N 	5723	NP23			
0780T	Instlj fecal microbiota ssp	S	5734	NP23			
0781T	Brnchsc rf dstrj pulm nrv bi	E1 		NP23			
0782T	Brnchsc rf dstrj plm nrv uni	E1 		NP23			
0783T	Tc auriculr neurostimulation	S 	5721	NP23			
0784T	Ins/rplmt eltrd ra spi nstim	J1	5463	NP24			
0785T	Revj/rmvl nea spi w/nstim	J1	5461	NP24			
0786T	Insj/rplcmt prq ra sac nstim	E1 		NP24			
0787T	Revj/rmvl nea sac w/nstim	J1	5461	NP24			
0788T	Elec aly smp iins sp/sac nrv	S	5742	NP24			
0789T	Elec aly cpx iins sp/sac nrv	S	5742	NP24			
0790T	Revj rplcmt/rmvl vrt tethrg	C		NP24			
0791T	Motr cog vr gait train ea 15	A		NJ23			
0792T	Appl slvr diamn fluoride 38%	E1		NJ23			
0793T	Prq tcat thrm ablt nrv p-art	J1	5194	NJ23			
0794T	Pt spec alg rx-onc tx option	S	5733	NJ23			
0795T	Tcat ins 2chmbr ldls pm cmpl	J1	5224	NJ23			
0796T	Tcat ins 2chmbr ldls pm ra	J1	5224	NJ23			
0797T	Tcat ins 2chmbr ldls pm rv	J1	5224	NJ23			
0798T	Tcat rmv 2chmbr ldls pm cmpl	J1	5183	NJ23			
0799T	Tcat rmvl 2chmbr ldls pm ra	J1	5183	NJ23			
0800T	Tcat rmvl 2chmbr ldls pm rv	J1	5183	NJ23			
0801T	Tcat rmv&rpl 2chmbr ldls pm	J1	5224	NJ23			
0802T	Tcat rmv&rpl2chmb ldls pm ra	J1	5224	NJ23			
0803T	Tcat rmv&rpl2chmb ldls pm rv	J1	5224	NJ23			
0804T	Prgrmg evl ldls pm 2chmbr ip	N	5741	NJ23			
0805T	Tcat s&ivc prstc vl impl prq	C		NJ23			
0806T	Tcat s&ivc prstc vl impl opn	C		NJ23			
0807T	Pulm tiss vntj alys prev ct	S	5722	NJ23			
0808T	Pulm tiss vntj alys w/ct	S	5722	NJ23			
0809T	Arthrd si jt prq tfx&implt	J1	5116	PD24			
0810T	Subrta njx rx agt w/vtrc	T	1563	NJ23			
